1;Название статьи;Индустриальная политика: Сотрудничество России и Белоруссии.;;;;;;;;;;;;
;Автор;Сухарев;Тематика;Экономическая политика;;;;;;;;;;
;Шуваев;0.001812467;11.34207777;*;;;;;;;;;;
;Захаров;0.001650442;10.3281562;*;;;;;;;;;;
;Россохин;0.001621439;10.14666183;4;;;;;;;;;;
;Чкалова;0.001620145;10.13856527;*;;;;;;;;;;
;Вайсблат;0.001589035;9.943883872;4;;;;;;;;;;
;Фияксель;0.001572572;9.840860951;4;;;;;;;;;;
;;;;;;;;;;;;;;
33;Название статьи;Об убывании решения неравномерно эллиптического уравнения;;;;;;;;;;;;
;Автор;Гилимшина. Мукминов;Тематика;Математика;;;;;;;;;;
;Романова;0.005657704;35.40485902;*;;;;;;;;;;
;Захаров;0.003281016;20.53198354;*;;;;;;;;;;
;Баранова;0.003104999;19.43050511;*;;;;;;;;;;
;Емельянова;0.003022776;18.91597018;*;;;;;;;;;;
;Савченко;0.00249706;15.62613587;8;;;;;;;;;;
;Миркин;0.002230286;13.95671363;8;;;;;;;;;;
;Панченко;0.002205173;13.79955847;*;;;;;;;;;;
;Вайсблат;0.002050939;12.83439277;3;;;;;;;;;;
;Фияксель;0.00204417;12.79203198;3;;;;;;;;;;
;Цветкова;0.001859569;11.63683664;*;;;;;;;;;;
;Колданов;0.001793185;11.22141735;8;;;;;;;;;;
;;;;;;;;;;;;;;
34;Название статьи;Применение принципов экспертной классификации для анализа формальных поняти;;;;;;;;;;;;
;Автор;Соловьев. Стельмашенко;Тематика;Математика/Информатика;;;;;;;;;;
;Иванова;0.004724884;29.56744388;*;;;;;;;;;;
;Романова;0.003584148;22.42893265;*;;;;;;;;;;
;Захаров;0.003369423;21.08521996;*;;;;;;;;;;
;Миркин;0.002881439;18.03150598;8;;;;;;;;;;
;Шинкаренко;0.002807073;17.56613802;*;;;;;;;;;;
;Ковтун;0.002711236;16.96640719;0;;;;;;;;;;
;Колданов;0.002654968;16.61429509;8;;;;;;;;;;
;Вайсблат;0.002485131;15.5514873;2;;;;;;;;;;
;Пишина;0.002423738;15.16729783;0;;;;;;;;;;
;Панченко;0.002127313;13.31232807;*;;;;;;;;;;
;Едронова;0.001916538;11.99333473;*;;;;;;;;;;
;;;;;;;;;;;;;;
35;Название статьи; Элементы среды разработки программных комплексов на основе организации метамодели объектной системы;;;;;;;;;;;;
;Автор;Олейник;Тематика;Информатика;;;;;;;;;;
;Иванова;0.003428458;21.45464933;*;;;;;;;;;;
;Романова;0.002709954;16.95838546;*;;;;;;;;;;
;Чилипенок;0.002584702;16.17458412;3;;;;;;;;;;
;Зусман;0.002437514;15.25351093;0;;;;;;;;;;
;Гапонова;0.002422879;15.16192626;3;;;;;;;;;;
;Ковтун;0.002275018;14.23663568;0;;;;;;;;;;
;Макарова;0.002202629;13.78364151;*;;;;;;;;;;
;Захаров;0.002127523;13.31364352;*;;;;;;;;;;
;Панченко;0.002030843;12.70863417;*;;;;;;;;;;
;Чистяков;0.002005733;12.55150534;8;;;;;;;;;;
;Михеева;0.001910585;11.95608678;*;;;;;;;;;;
;;;;;;;;;;;;;;
36;Название статьи;Применение нейронных сетей для прогнозирования платежеспособности российских предприятий обрабатывающих отраслей;;;;;;;;;;;;
;Автор;Богданова. Шевгунов. Уварова;Тематика;Информатика/Экономика;;;;;;;;;;
;Романова;0.003515709;22.00065306;*;;;;;;;;;;
;Панченко;0.003342996;20.91984335;*;;;;;;;;;;
;Захаров;0.003263206;20.42053526;*;;;;;;;;;;
;Зусман;0.002844276;17.79894937;0;;;;;;;;;;
;Чилипенок;0.002601537;16.27993378;4;;;;;;;;;;
;Ковтун;0.002506448;15.68488157;8;;;;;;;;;;
;Миркин;0.002299091;14.38728444;8;;;;;;;;;;
;Баранова;0.0022722;14.21900164;*;;;;;;;;;;
;Гапонова;0.002043162;12.78572709;4;;;;;;;;;;
;Савченко;0.00182419;11.41543926;8;;;;;;;;;;
;Гриднева;0.001722743;10.78060334;0;;;;;;;;;;
;;;;;;;;;;;;;;
37;Название статьи;Принципы формального представления поведенческой перспективы модели бизнес-процесса;;;;;;;;;;;;
;Автор;Федоров;Тематика;Информатика/Экономика/Психология;;;;;;;;;;
;Зусман;0.004703775;29.43534674;1;;;;;;;;;;
;Панченко;0.003891261;24.35078362;*;;;;;;;;;;
;Чилипенок;0.003883569;24.3026508;3;;;;;;;;;;
;Гриднева;0.00285223;17.84872181;0;;;;;;;;;;
;Ковтун;0.002818697;17.63888066;0;;;;;;;;;;
;Бабкин;0.002586632;16.18665944;8;;;;;;;;;;
;Кирнозе;0.002568536;16.0734161;*;;;;;;;;;;
;Сокова;0.002515474;15.74136812;*;;;;;;;;;;
;Аистов;0.002345557;14.6780596;7;;;;;;;;;;
;Гапонова;0.002290692;14.33472511;3;;;;;;;;;;
;Миркин;0.002289703;14.32853591;8;;;;;;;;;;
;;;;;;;;;;;;;;
38;Название статьи;Подход к определению характеристик колмогоровской сложности временных рядов на основе символьных описаний;;;;;;;;;;;;
;Автор;Сметанин. Ульянов;Тематика;Информатика/Математика;;;;;;;;;;
;Иванова;0.007348184;45.98356357;*;;;;;;;;;;
;Романова;0.004145733;25.94322162;*;;;;;;;;;;
;Захаров;0.004019991;25.15635316;*;;;;;;;;;;
;Ковтун;0.002913481;18.23202034;0;;;;;;;;;;
;Панченко;0.002908662;18.2018662;*;;;;;;;;;;
;Вайсблат;0.002838234;17.7611393;1;;;;;;;;;;
;Баранова;0.002212486;13.84532167;*;;;;;;;;;;
;Коршунов;0.002071678;12.96417226;*;;;;;;;;;;
;Лапидус;0.001922919;12.03326898;0;;;;;;;;;;
;Смельцова;0.001698423;10.62841433;1;;;;;;;;;;
;Савченко;0.001663513;10.40995363;8;;;;;;;;;;
;;;;;;;;;;;;;;
39;Название статьи;Мошенничество в сфере компьютерной информации как новый состав преступления;;;;;;;;;;;;
;Автор;Елин;Тематика;Информатика/Право;;;;;;;;;;
;Макарова;0.003811185;23.84968773;*;;;;;;;;;;
;Чистяков;0.002970313;18.58766734;2;;;;;;;;;;
;Гапонова;0.002728171;17.07238323;0;;;;;;;;;;
;Козлов;0.002643309;16.54133182;*;;;;;;;;;;
;Альтшулер;0.002609331;16.32870368;1;;;;;;;;;;
;Макаров;0.00254428;15.92162742;*;;;;;;;;;;
;Панченко;0.002459864;15.39337057;*;;;;;;;;;;
;Городнов;0.002275217;14.2378835;1;;;;;;;;;;
;Зинчак;0.002143993;13.41671133;1;;;;;;;;;;
;Романова;0.002101067;13.14808842;*;;;;;;;;;;
;Зусман;0.002071146;12.96084442;0;;;;;;;;;;
;;;;;;;;;;;;;;
40;Название статьи;Кибернетический подход к управлению информационными ресурсами организации;;;;;;;;;;;;
;Автор;Абросимов;Тематика;Экономика/Информатика;;;;;;;;;;
;Романова;0.006763982;42.32773817;*;;;;;;;;;;
;Баранова;0.006178178;38.66188517;*;;;;;;;;;;
;Савченко;0.004639982;29.036142;6;;;;;;;;;;
;Куркин;0.004012085;25.10688022;8;;;;;;;;;;
;Панченко;0.002859334;17.89317888;*;;;;;;;;;;
;Вайсблат;0.002849558;17.83200164;6;;;;;;;;;;
;Шпилев;0.002674509;16.7365815;0;;;;;;;;;;
;Плотников;0.002535858;15.86892438;*;;;;;;;;;;
;Куркина;0.00225705;14.12419499;*;;;;;;;;;;
;Солычева;0.002093394;13.10007086;7;;;;;;;;;;
;Захаров;0.002026312;12.68028134;*;;;;;;;;;;
;;;;;;;;;;;;;;
41;Название статьи;Многомерная ABC-классификация. Критерии качества и канонические алгоритмы;;;;;;;;;;;;
;Автор;Белов. Коричнева;;;;;;;;;;;;
;Кандидаты;;Тематика;Математика;;;;;;;;;;
;Романова;0.006903058;43.19804928;*;;;;;;;;;;
;Захаров;0.00441405;27.62230214;*;;;;;;;;;;
;Баранова;0.004258986;26.65193988;*;;;;;;;;;;
;Савченко;0.00347222;21.72850592;8;;;;;;;;;;
;Панченко;0.002597162;16.25255337;*;;;;;;;;;;
;Куркин;0.002500909;15.65022458;8;;;;;;;;;;
;Петрухин;0.002051414;12.83736304;8;;;;;;;;;;
;Вайсблат;0.001983821;12.41437893;1;;;;;;;;;;
;Кирюшин;0.001890704;11.83167002;2;;;;;;;;;;
;Марширова;0.001856744;11.6191592;2;;;;;;;;;;
;Файнштейн;0.001796294;11.24087392;*;;;;;;;;;;
;;;;;;;;;;;;;;
42;Название статьи;Бикритериальные модели и алгоритмы синтеза Парето-оптимальных стратегий обслуживания линейно рассредоточенной группировки объектов;;;;;;;;;;;;
;Автор;Дуничкина;;;;;;;;;;;;
;Кандидаты;;Тематика;Математика;;;;;;;;;;
;Захаров;0.004809119;30.09456755;*;;;;;;;;;;
;Романова;0.004771231;29.85747447;*;;;;;;;;;;
;Панченко;0.002926944;18.31626665;*;;;;;;;;;;
;Баранова;0.002555405;15.99124983;*;;;;;;;;;;
;Савченко;0.002331216;14.58831645;8;;;;;;;;;;
;Ковтун;0.002143432;13.41319663;0;;;;;;;;;;
;Гапонова;0.001942391;12.15512128;1;;;;;;;;;;
;Куркин;0.001816452;11.36701853;8;;;;;;;;;;
;Емельянова;0.001719658;10.76130081;*;;;;;;;;;;
;Городнова;0.001540019;9.637153479;0;;;;;;;;;;
;Чилипенок;0.001529782;9.573092958;1;;;;;;;;;;
;;;;;;;;;;;;;;
43;Название статьи;Алгоритмы для рекомендательной системы: технология LENKOR;;;;;;;;;;;;
;Автор;Дьяконов;Тематика;Математика/Информатика;;;;;;;;;;
;Кандидаты;;;;;;;;;;;;;
;Захаров;0.00476704;29.83124739;*;;;;;;;;;;
;Романова;0.004562396;28.55062578;*;;;;;;;;;;
;Панченко;0.003466803;21.69460552;*;;;;;;;;;;
;Зусман;0.002547352;15.94085603;0;;;;;;;;;;
;Чилипенок;0.002305227;14.42568023;0;;;;;;;;;;
;Ковтун;0.002268317;14.19470687;0;;;;;;;;;;
;Баранова;0.001978338;12.38007169;*;;;;;;;;;;
;Петрухин;0.001850918;11.58270154;8;;;;;;;;;;
;Савченко;0.001796553;11.2424957;7;;;;;;;;;;
;Иванова;0.001794764;11.23129902;*;;;;;;;;;;
;Фияксель;0.00179238;11.21638031;3;;;;;;;;;;
;;;;;;;;;;;;;;
44;Название статьи;Влияние информационных технологий на производительность российского предприятия: методология эмпирического исследования;;;;;;;;;;;;
;Автор;Зимин. Маркин. Скрипкин;Тематика;Экономика;;;;;;;;;;
;Романова;0.003462665;21.66871277;*;;;;;;;;;;
;Зусман;0.003185916;19.93687082;0;;;;;;;;;;
;Чилипенок;0.002988568;18.70190003;6;;;;;;;;;;
;Гапонова;0.002564665;16.04919731;6;;;;;;;;;;
;Панченко;0.002558807;16.0125385;*;;;;;;;;;;
;Миркин;0.002446768;15.31141932;4;;;;;;;;;;
;Ковтун;0.002340098;14.64389897;0;;;;;;;;;;
;Баранова;0.002278196;14.25652304;*;;;;;;;;;;
;Гриднева;0.002136683;13.37096446;0;;;;;;;;;;
;Бабкин;0.002049539;12.82563461;8;;;;;;;;;;
;Иванова;0.001854353;11.60419218;*;;;;;;;;;;
;;;;;;;;;;;;;;
45;Название статьи;Потенциальная доходность информационных объектов;;;;;;;;;;;;
;Автор;Будник;Тематика;Право;;;;;;;;;;
;Зусман;0.004385795;27.44549006;0;;;;;;;;;;
;Чилипенок;0.00409846;25.64739729;0;;;;;;;;;;
;Панченко;0.003467052;21.69616731;*;;;;;;;;;;
;Ковтун;0.003092028;19.34933348;8;;;;;;;;;;
;Гриднева;0.002961774;18.53422963;3;;;;;;;;;;
;Гапонова;0.002677224;16.75356834;1;;;;;;;;;;
;Бабкин;0.002583126;16.16472217;5;;;;;;;;;;
;Сокова;0.00255063;15.96136971;*;;;;;;;;;;
;Кирнозе;0.00247437;15.48414726;*;;;;;;;;;;
;Аистов;0.002402468;15.0341973;0;;;;;;;;;;
;Свиридова;0.002310228;14.45697481;*;;;;;;;;;;
;;;;;;;;;;;;;;
46;Название статьи;Продукционная система выбора программных продуктов системы ?1С: Предприятие 8?;;;;;;;;;;;;
;Автор;Адуева. Ахаев. Ходашинский;Тематика;Информатика;;;;;;;;;;
;Романова;0.004121145;25.78935716;*;;;;;;;;;;
;Захаров;0.004113932;25.74421714;*;;;;;;;;;;
;Зусман;0.004108742;25.7117381;0;;;;;;;;;;
;Чилипенок;0.003560006;22.27785226;3;;;;;;;;;;
;Панченко;0.00355298;22.23388377;*;;;;;;;;;;
;Фияксель;0.002743677;17.16941965;3;;;;;;;;;;
;Гриднева;0.002593297;16.22837197;0;;;;;;;;;;
;Блинов;0.002553345;15.97835705;7;;;;;;;;;;
;Гапонова;0.002462098;15.40735019;3;;;;;;;;;;
;Ковтун;0.00237466;14.86018018;0;;;;;;;;;;
;Цветкова;0.002363159;14.78821019;*;;;;;;;;;;
;;;;;;;;;;;;;;
47;Название статьи;Методы построения высокопроизводительной вычислительной среды системы управления производственными процессами;;;;;;;;;;;;
;Автор;Островерх. Цырков. Криштоп. Цырков;Тематика;Инорматика/Математика;;;;;;;;;;
;Зусман;0.004522952;28.30379028;0;;;;;;;;;;
;Чилипенок;0.004484745;28.0646987;0;;;;;;;;;;
;Романова;0.003433976;21.48918336;*;;;;;;;;;;
;Панченко;0.002997335;18.7567627;*;;;;;;;;;;
;Захаров;0.002861388;17.90603303;*;;;;;;;;;;
;Гриднева;0.002820125;17.64781822;0;;;;;;;;;;
;Бабкин;0.002732454;17.09918676;7;;;;;;;;;;
;Сокова;0.002452485;15.34719432;*;;;;;;;;;;
;Миркин;0.002369684;14.82904298;7;;;;;;;;;;
;Кирнозе;0.002301318;14.40122152;*;;;;;;;;;;
;Гапонова;0.002286501;14.30849389;0;;;;;;;;;;
;;;;;;;;;;;;;;
48;Название статьи; Метод энергетической балансировки беспроводной стационарной сенсорной сети с автономными источниками питания;;;;;;;;;;;;
;Автор;Восков. Комаров;Тематика;Математика;;;;;;;;;;
;Романова;0.00490229;30.67761916;*;;;;;;;;;;
;Захаров;0.003833929;23.99201351;*;;;;;;;;;;
;Чилипенок;0.002707677;16.94413704;0;;;;;;;;;;
;Фияксель;0.002429556;15.20370948;0;;;;;;;;;;
;Зусман;0.002336468;14.6211784;0;;;;;;;;;;
;Панченко;0.002246338;14.05716464;*;;;;;;;;;;
;Блинов;0.002240155;14.01847167;6;;;;;;;;;;
;Гапонова;0.002133805;13.35295087;0;;;;;;;;;;
;Тенилова;0.00206522;12.92376273;0;;;;;;;;;;
;Цветкова;0.002034792;12.73334864;*;;;;;;;;;;
;Ковтун;0.001933253;12.09793389;0;;;;;;;;;;
;;;;;;;;;;;;;;
49;Название статьи; Предпринимательская ориентация: истоки концепции и основные подходы к исследованию;;;;;;;;;;;;
;Автор;Широкова;Тематика;Менеджмент/Экономика/Психология;;;;;;;;;;
;Иванова;0.005985921;37.45877489;*;;;;;;;;;;
;Романова;0.003288455;20.57854065;*;;;;;;;;;;
;Захаров;0.003018665;18.8902437;*;;;;;;;;;;
;Ковтун;0.002400033;15.01895941;3;;;;;;;;;;
;Панченко;0.002064715;12.92059889;*;;;;;;;;;;
;Вайсблат;0.002041345;12.77435671;8;;;;;;;;;;
;Лапидус;0.00199192;12.4650665;7;;;;;;;;;;
;Макарова;0.001941427;12.14908668;*;;;;;;;;;;
;Гапонова;0.001719613;10.76101507;7;;;;;;;;;;
;Коршунов;0.001711282;10.70888045;*;;;;;;;;;;
;Смельцова;0.001587403;9.933671368;8;;;;;;;;;;
;;;;;;;;;;;;;;
50;Название статьи;Л. В. Канторович и экономико-математическое моделирование: синтез реальности. математики и экономики;;;;;;;;;;;;
;Автор;Бухвалов;Тематика;Экономика/Математика;;;;;;;;;;
;Иванова;0.009530799;59.64195975;*;;;;;;;;;;
;Лапидус;0.00352016;22.0285067;4;;;;;;;;;;
;Ковтун;0.00308596;19.31136096;0;;;;;;;;;;
;Романова;0.002999855;18.77253132;*;;;;;;;;;;
;Коршунов;0.002891626;18.09525649;*;;;;;;;;;;
;Вайсблат;0.002855254;17.86764432;4;;;;;;;;;;
;Смельцова;0.002407875;15.06803046;4;;;;;;;;;;
;Ошарина;0.002074061;12.97908497;*;;;;;;;;;;
;Ошарин;0.002008724;12.57022014;8;;;;;;;;;;
;Захаров;0.001882748;11.78188807;*;;;;;;;;;;
;Михеева;0.001877232;11.74736565;*;;;;;;;;;;
;;;;;;;;;;;;;;
51;Название статьи;Диверсификация услуг в банковском розничном бизнесе: пример развития Citi в России;;;;;;;;;;;;
;Автор;Беляев;Тематика;Экономика;;;;;;;;;;
;Иванова;0.010234599;64.04620883;*;;;;;;;;;;
;Лапидус;0.00438945;27.4683567;6;;;;;;;;;;
;Ковтун;0.003366735;21.06839923;0;;;;;;;;;;
;Вайсблат;0.003214434;20.11532811;6;;;;;;;;;;
;Коршунов;0.003018101;18.88671066;*;;;;;;;;;;
;Романова;0.002575042;16.11413422;*;;;;;;;;;;
;Смельцова;0.002555636;15.99269472;6;;;;;;;;;;
;Ошарина;0.002222852;13.91019062;*;;;;;;;;;;
;Ошарин;0.002126814;13.30920372;9;;;;;;;;;;
;Михеева;0.002022141;12.65418188;*;;;;;;;;;;
;Баринова;0.001915538;11.98707938;*;;;;;;;;;;
;;;;;;;;;;;;;;
52;Название статьи;Рост и ценность компании в изменчивом мире Исследование компании PwC;;;;;;;;;;;;
;Автор;PWC;Тематика;Экономика;;;;;;;;;;
;Иванова;0.010295728;64.42874676;*;;;;;;;;;;
;Ковтун;0.003340209;20.9024054;0;;;;;;;;;;
;Коршунов;0.0029212;18.28032434;*;;;;;;;;;;
;Романова;0.002729038;17.07781147;*;;;;;;;;;;
;Вайсблат;0.002707086;16.94043628;7;;;;;;;;;;
;Лапидус;0.002684049;16.79627803;7;;;;;;;;;;
;Смельцова;0.002434803;15.2365426;7;;;;;;;;;;
;Ошарина;0.002203925;13.79175237;*;;;;;;;;;;
;Ошарин;0.002094967;13.10991372;8;;;;;;;;;;
;Михеева;0.002014757;12.60797637;*;;;;;;;;;;
;Баринова;0.001842695;11.53123994;*;;;;;;;;;;
;;;;;;;;;;;;;;
53;Название статьи;Н.?Ф.?ЧАРНОВСКИЙ И СТАНОВЛЕНИЕ НАУЧНОГО МЕНЕДЖМЕНТА В РОССИИ;;;;;;;;;;;;
;Автор;Кузьмичев;Тематика;Менеджмент;;;;;;;;;;
;Иванова;0.005887134;36.84058897;*;;;;;;;;;;
;Захаров;0.004050681;25.34840825;*;;;;;;;;;;
;Романова;0.003512639;21.98144214;*;;;;;;;;;;
;Ковтун;0.002864844;17.92765772;0;;;;;;;;;;
;Панченко;0.002187383;13.68823197;*;;;;;;;;;;
;Фияксель;0.00173567;10.86150069;9;;;;;;;;;;
;Коршунов;0.001633486;10.22205291;*;;;;;;;;;;
;Городнова;0.001630146;10.20115116;0;;;;;;;;;;
;Вайсблат;0.001557937;9.749281774;8;;;;;;;;;;
;Лапидус;0.001551394;9.708334146;8;;;;;;;;;;
;Альтшулер;0.001503257;9.40710169;9;;;;;;;;;;
;;;;;;;;;;;;;;
54;Название статьи;Создание и использование учебных кейсов в российском бизнесе;;;;;;;;;;;;
;Автор;Гладких. Алканова;Тематика;Менеджмент;;;;;;;;;;
;Иванова;0.007756794;48.54057277;*;;;;;;;;;;
;Ковтун;0.003139744;19.64793376;0;;;;;;;;;;
;Романова;0.003012344;18.85068973;*;;;;;;;;;;
;Вайсблат;0.002740435;17.14913154;8;;;;;;;;;;
;Коршунов;0.002195409;13.7384615;*;;;;;;;;;;
;Смельцова;0.001915277;11.98544684;8;;;;;;;;;;
;Ефремова;0.001906747;11.93206464;*;;;;;;;;;;
;Лапидус;0.00186055;11.64297351;7;;;;;;;;;;
;Ошарина;0.001661477;10.39721111;*;;;;;;;;;;
;Михеева;0.001641375;10.27142067;*;;;;;;;;;;
;Ошарин;0.001593366;9.970984842;6;;;;;;;;;;
;;;;;;;;;;;;;;
55;Название статьи;Эмпирическая фундаментальная оценка российских компаний: в поисках стратегической ценности;;;;;;;;;;;;
;Автор;Бухвалов. Акулаева;Тематика;Экономика/Менеджмент;;;;;;;;;;
;Романова;0.003664146;22.9295434;*;;;;;;;;;;
;Чистяков;0.00304822;19.0751915;2;;;;;;;;;;
;Захаров;0.002892585;18.10125654;*;;;;;;;;;;
;Макарова;0.002723714;17.04449467;*;;;;;;;;;;
;Гапонова;0.002698937;16.88944376;7;;;;;;;;;;
;Панченко;0.002635919;16.49509078;*;;;;;;;;;;
;Миркин;0.001888479;11.81775238;5;;;;;;;;;;
;Баранова;0.001760745;11.01841505;*;;;;;;;;;;
;Емельянова;0.001715538;10.73551724;*;;;;;;;;;;
;Зусман;0.001628563;10.19124053;0;;;;;;;;;;
;Колданов;0.00160246;10.02789424;6;;;;;;;;;;
;;;;;;;;;;;;;;
56;Название статьи;Маркетинг на развивающихся рынках: подходы к определению;;;;;;;;;;;;
;Автор;Алканова. Смирнова;Тематика;Менеджмент;;;;;;;;;;
;Емельянова;0.010838759;67.82693061;*;;;;;;;;;;
;Галкина;0.004401376;27.54298831;7;;;;;;;;;;
;Гришина;0.004148155;25.95838046;*;;;;;;;;;;
;Россохин;0.00330518;20.68319789;9;;;;;;;;;;
;Чистяков;0.003038475;19.01420897;3;;;;;;;;;;
;Романова;0.002890503;18.08823144;*;;;;;;;;;;
;Панченко;0.002850552;17.83822272;*;;;;;;;;;;
;Захаров;0.002799927;17.5214197;*;;;;;;;;;;
;Пелиновский;0.00250971;15.70529985;*;;;;;;;;;;
;Воронина;0.002342432;14.65850537;*;;;;;;;;;;
;Зайцев;0.002148325;13.44381964;*;;;;;;;;;;
;;;;;;;;;;;;;;
57;Название статьи;О формуле успеха среднего бизнеса в мире и в России;;;;;;;;;;;;
;Автор;Юданов;Тематика;Менеджмент;;;;;;;;;;
;Иванова;0.008864487;55.47230855;*;;;;;;;;;;
;Романова;0.003661997;22.91609693;*;;;;;;;;;;
;Ковтун;0.003052926;19.10464325;2;;;;;;;;;;
;Лапидус;0.003006266;18.81265015;9;;;;;;;;;;
;Вайсблат;0.002672119;16.7216208;9;;;;;;;;;;
;Коршунов;0.002565461;16.05417941;*;;;;;;;;;;
;Смельцова;0.002306101;14.43115207;9;;;;;;;;;;
;Ошарина;0.001938547;12.13106303;*;;;;;;;;;;
;Михеева;0.00186501;11.67088283;*;;;;;;;;;;
;Ошарин;0.001842418;11.52950553;7;;;;;;;;;;
;Гапонова;0.001799951;11.26375949;8;;;;;;;;;;
;;;;;;;;;;;;;;
58;Название статьи;Уровень интернационализации фирмы и эффективность ее дело;;;;;;;;;;;;
;Автор;Медведев;Тематика;Менеджмент;;;;;;;;;;
;Иванова;0.007477079;46.79016563;*;;;;;;;;;;
;Романова;0.004934994;30.88227328;*;;;;;;;;;;
;Ковтун;0.003134983;19.61813594;0;;;;;;;;;;
;Вайсблат;0.002425859;15.18057296;8;;;;;;;;;;
;Коршунов;0.002096963;13.12240136;*;;;;;;;;;;
;Баранова;0.002090031;13.07902255;*;;;;;;;;;;
;Ефремова;0.002000845;12.52091459;*;;;;;;;;;;
;Смельцова;0.001879093;11.75901446;9;;;;;;;;;;
;Лапидус;0.001783842;11.16295295;8;;;;;;;;;;
;Савченко;0.001600593;10.01621023;4;;;;;;;;;;
;Ошарина;0.001587349;9.933331071;*;;;;;;;;;;
;;;;;;;;;;;;;;
59;Название статьи;Построение инновационной экономики для будущего практика менеджмента;;;;;;;;;;;;
;Автор;Праздничных;Тематика;Менеджмент/Экономика;;;;;;;;;;
;Иванова;0.012368175;77.39773264;*;;;;;;;;;;
;Ковтун;0.003831083;23.97420105;0;;;;;;;;;;
;Коршунов;0.003549598;22.21272357;*;;;;;;;;;;
;Вайсблат;0.003155379;19.7457758;8;;;;;;;;;;
;Романова;0.003128075;19.57491146;*;;;;;;;;;;
;Лапидус;0.002992728;18.72793333;8;;;;;;;;;;
;Смельцова;0.002920619;18.27668879;8;;;;;;;;;;
;Ошарина;0.002674211;16.73471223;*;;;;;;;;;;
;Ошарин;0.00253034;15.83439834;7;;;;;;;;;;
;Михеева;0.002237852;14.00406264;*;;;;;;;;;;
;Баринова;0.002226908;13.93557227;*;;;;;;;;;;
;;;;;;;;;;;;;;
60;Название статьи;Оценка рискованности неликвидных акций на российском фондов;;;;;;;;;;;;
;Автор;Окулов;Тематика;Экономика;;;;;;;;;;
;Романова;0.004398263;27.52350632;*;;;;;;;;;;
;Иванова;0.003736887;23.38473918;*;;;;;;;;;;
;Ковтун;0.002952206;18.47435462;0;;;;;;;;;;
;Панченко;0.002240835;14.02272683;*;;;;;;;;;;
;Гапонова;0.002039077;12.76016529;6;;;;;;;;;;
;Цветкова;0.001968574;12.31896985;*;;;;;;;;;;
;Савченко;0.001906072;11.92784229;0;;;;;;;;;;
;Захаров;0.001885059;11.79634777;*;;;;;;;;;;
;Вайсблат;0.001703445;10.65984196;6;;;;;;;;;;
;Баранова;0.001663542;10.41013856;*;;;;;;;;;;
;Козлов;0.001658324;10.37748041;*;;;;;;;;;;
;;;;;;;;;;;;;;
61;Название статьи;Корпоративные конфликты и политика фирм в области занятости и заработной платы;;;;;;;;;;;;
;Автор;?Муравьев. Березинец. Ильина;;;;;;;;;;;;
;Кандидаты;;Тематика;Психология/Экономика;;;;;;;;;;
;Захаров;0.005273572;33.00102825;*;;;;;;;;;;
;Романова;0.004237185;26.51551569;*;;;;;;;;;;
;Иванова;0.003923111;24.55009712;*;;;;;;;;;;
;Баранова;0.0026601;16.64640905;*;;;;;;;;;;
;Панченко;0.002429446;15.20301765;*;;;;;;;;;;
;Савченко;0.002111075;13.21071084;0;;;;;;;;;;
;Ковтун;0.002058186;12.87974314;6;;;;;;;;;;
;Городнова;0.001945263;12.17309009;2;;;;;;;;;;
;Вайсблат;0.00191976;12.01350066;6;;;;;;;;;;
;Куркин;0.001851452;11.58604233;3;;;;;;;;;;
;Чистяков;0.001756364;10.99099891;2;;;;;;;;;;
;;;;;;;;;;;;;;
62;Название статьи;Измерение эффективности деятельности организации: особенности метода DEA (анализа свертки данных);;;;;;;;;;;;
;Автор;Федотов;;;;;;;;;;;;
;Кандидаты;;Тематика;Экономика;;;;;;;;;;
;Иванова;0.005251561;32.8632874;*;;;;;;;;;;
;Романова;0.003289259;20.58356901;*;;;;;;;;;;
;Ковтун;0.002900706;18.15207995;0;;;;;;;;;;
;Лапидус;0.002352253;14.71995742;8;;;;;;;;;;
;Вайсблат;0.00206606;12.92901586;7;;;;;;;;;;
;Миркин;0.002055147;12.86072771;4;;;;;;;;;;
;Панченко;0.001776326;11.11591699;*;;;;;;;;;;
;Колданов;0.001739092;10.88291392;6;;;;;;;;;;
;Коршунов;0.001703212;10.65838469;*;;;;;;;;;;
;Гапонова;0.001521621;9.52202303;7;;;;;;;;;;
;Захаров;0.001483777;9.285202486;*;;;;;;;;;;
;;;;;;;;;;;;;;
63;Название статьи;РЕВОЛЮЦИОННОЕ ПРАВОСОЗНАНИЕ КАК ИСТОЧНИК СОВЕТСКОГО ПРАВА И ЗАКОНОТВОРЧЕСТВА;;;;;;;;;;;;
;Автор;Максимова;;;;;;;;;;;;
;Кандидаты;;Тематика;Право;;;;;;;;;;
;Захаров;0.009022201;56.45924954;*;;;;;;;;;;
;Панченко;0.004701177;29.41908696;*;;;;;;;;;;
;Городнова;0.003805183;23.81212469;5;;;;;;;;;;
;Макарова;0.002941288;18.40603347;*;;;;;;;;;;
;Удалова;0.002815637;17.61972825;9;;;;;;;;;;
;Петрухин;0.002524658;15.79883976;3;;;;;;;;;;
;Козырев;0.002446253;15.30819437;*;;;;;;;;;;
;Рябова;0.002390509;14.95936166;*;;;;;;;;;;
;Полякова;0.002372214;14.84487547;*;;;;;;;;;;
;Мартынова;0.002338455;14.63361637;*;;;;;;;;;;
;Чернявская;0.002331986;14.59313053;*;;;;;;;;;;
